ingredient,ingredient_norm,total fat,total carbohydrate,calcium,cholesterol,saturated fat,protein,iron
#cakeweek,#cakeweek,,,,,,,
#wasteless,#wasteless,,,,,,,
lime,lime,19.26,14.48,3.0,83.33,13.63,17.64,7.44
lime juice,lime juice,0.0,2.43,0.0,,,0.0,0.0
lingonberry,lingonberry,0.0,16.36,,,,0.0,
liqueur,liqueur,0.14,12.07,0.0,0.0,0.0,0.0,0.22
lobster,lobster,1.22,0.0,8.15,53.67,1.15,41.82,1.83
london,london,5.72,0.32,2.77,19.33,8.95,42.8,8.94
long beach,long beach,19.49,13.96,24.77,1.0,16.9,60.6,30.0
los angeles,los angeles,2.83,5.91,2.77,14.67,2.38,17.12,5.06
louisiana,louisiana,1.51,0.0,7.08,47.0,0.0,35.2,17.67
louisville,louisville,0.0,1.71,0.92,0.0,0.0,2.36,3.56
low cal,low cal,0.0,0.15,,,,0.0,
low carb,low carb,0.0,0.27,0.31,0.0,0.0,0.34,0.0
low cholesterol,low cholesterol,41.03,0.36,54.23,5.0,29.1,50.0,3.89
low fat,low fat,1.38,1.75,9.23,1.6,2.76,6.92,0.07
low sodium,low sodium,0.13,9.96,1.15,0.0,0.07,2.08,1.94
low sugar,low sugar,55.51,13.71,21.92,7.33,108.5,24.8,8.06
low/no sugar,low/no sugar,,,,,,,
lunar new year,lunar new year,,,,,,,
lunch,lunch,16.54,8.31,2.46,16.67,14.15,31.34,11.06
lychee,lychee,0.56,6.01,0.38,0.0,0.5,1.66,1.72
macadamia nut,macadamia nut,97.18,5.02,6.54,0.0,60.5,15.82,20.5
macaroni and cheese,macaroni and cheese,4.36,5.2,2.92,0.67,7.55,6.8,1.5
maine,maine,15.51,2.32,3.38,17.33,37.45,7.48,0.89
mandoline,mandoline,,,,,,,
mango,mango,0.0,30.91,2.92,0.0,0.0,5.0,0.0
maple syrup,maple syrup,0.0,31.53,7.69,,,0.0,
mardi gras,mardi gras,0.0,36.36,,,,0.0,
margarita,margarita,0.1,5.84,0.15,0.0,0.03,0.16,0.5
marinade,marinade,0.0,4.84,0.0,0.0,0.0,0.0,0.0
marinate,marinate,,,,,,,
marsala,marsala,73.21,0.0,0.0,0.0,71.5,0.0,0.0
marscarpone,marscarpone,,,,,,,
marshmallow,marshmallow,0.0,27.82,0.23,0.0,0.0,5.88,0.0
martini,martini,0.0,0.05,0.08,0.0,0.0,0.14,0.5
maryland,maryland,0.82,1.63,1.0,3.33,0.0,6.42,1.94
massachusetts,massachusetts,0.0,32.11,,,,0.0,
mayonnaise,mayonnaise,99.74,0.0,0.0,18.67,55.5,0.0,0.0
meat,meat,14.87,0.0,1.38,19.33,20.1,35.8,3.56
meatball,meatball,12.03,12.22,4.77,1.33,19.55,14.06,11.72
meatloaf,meatloaf,20.38,1.29,0.0,16.33,26.55,28.4,5.33
melon,melon,0.21,3.01,0.54,0.0,0.18,1.32,1.44
mexico,mexico,0.0,36.36,0.0,0.0,0.0,0.0,0.0
mezcal,mezcal,0.0,4.84,0.0,0.0,0.0,6.66,0.0
miami,miami,0.0,4.07,0.62,0.0,0.0,0.84,16.67
michigan,michigan,0.91,4.4,0.0,0.0,0.0,1.42,0.0
microwave,microwave,33.21,1.54,12.54,51.0,34.65,59.0,14.61
midori,midori,0.0,0.0,,,,0.0,
milk/cream,milk/cream,,,,,,,
minneapolis,minneapolis,2.33,25.78,2.77,12.0,0.0,25.4,10.89
minnesota,minnesota,7.31,7.35,1.31,0.33,3.55,6.84,19.94
mint,mint,0.0,38.18,,,,0.0,
mississippi,mississippi,0.0,29.45,,,,0.0,
missouri,missouri,55.0,16.62,4.38,0.0,128.5,11.42,57.22
mixer,mixer,0.0,7.27,,,,0.0,
molasses,molasses,0.13,27.17,15.77,0.0,0.09,0.0,26.22
monterey jack,monterey jack,38.46,0.0,51.31,33.33,100.0,46.6,0.0
mortar and pestle,mortar and pestle,10.68,,4.08,,25.0,6.66,18.5
mother's day,mother's day,28.59,2.74,3.31,15.0,39.75,24.2,7.33
mozzarella,mozzarella,32.05,1.3,41.23,23.67,71.5,42.8,0.0
muffin,muffin,3.85,12.0,0.0,0.0,0.0,6.0,4.0
mushroom,mushroom,7.94,1.93,2.08,0.0,4.4,1.76,4.89
mussel,mussel,3.64,1.7,2.54,11.67,2.69,30.12,27.78
mustard,mustard,4.33,1.93,4.85,0.0,1.26,8.5,8.83
